geometry,OBJECTID,TAGID,CNAME1,CNAME2,CNAME3,GENUS,SPECIES,CULTIVAR,DIAMETER,DBHHEIGHT,NUMTRUNK,HEIGHT,TRUNKHEIGHT,CRADAVG,Latitude,Longitude,Long,longitude,latitude
POINT (-76.9377644 38.9844437),1,27,Maple,Red,,Acer,rubrum,,20.3,4.5,1,48,8,26.6,4719443.509,-8564672.759,,-76.9377644,38.9844437
POINT (-76.9534717 39.0047046),2,0,Sweetgum,American,,Liquidambar,styraciflua,,0,4.5,1,0,0,0,4722345.482,-8566421.279,,-76.9534717,39.0047046
POINT (-76.9481494 38.9847038),3,1026,Oak,Willow,,Quercus,phellos,,28.3,4.5,1,61,13,31.2,4719480.753,-8565828.806,,-76.9481494,38.9847038
POINT (-76.9414935 38.9872078),4,2880,Redwood,Dawn,,Metasequoia,glyptostroboides,,18.5,4.5,1,51,6,13.3,4719839.369,-8565087.88,,-76.9414935,38.9872078
POINT (-76.940688 38.9840039),5,0,Camellia,Hybrid,Winter Fire,Camellia,x,Winter Fire,0,4.5,1,4,0,1,4719380.525,-8564998.207,,-76.940688,38.9840039
POINT (-76.9358621 38.9866418),6,1779,Cypress,Leyland,,X Cupressocyparis,leylandii,,0,4.5,1,0,0,0,4719758.3,-8564460.987,,-76.9358621,38.9866418
POINT (-76.9412093 38.9985422),7,0,Maple,Red,,Acer,rubrum,,4,4.5,1,0,0,0,4721462.75,-8565056.242,,-76.9412093,38.9985422
POINT (-76.950113 38.9901359),8,0,Holly,Winterberry,Winter Red,Ilex,verticillata,Winter Red,0,4.5,1,6,0,2,4720258.72,-8566047.395,,-76.950113,38.9901359
POINT (-76.9486486 38.9917168),9,0,Oak,Pin,,Quercus,palustris,,0.5,4.5,1,0,0,0,4720485.148,-8565884.381,,-76.9486486,38.9917168
POINT (-76.949845 38.9920845),10,0,Linden,Silver,Sterling Silver,Tilia,tomentosa,,3.8,4,1,0,0,0,4720537.813,-8566017.563,,-76.949845,38.9920845
POINT (-76.9494366 38.991987),11,0,Yew,English,,Taxus,baccata,Densiformis,0,4.5,1,2,0,1,4720523.84,-8565972.094,,-76.9494366,38.991987
POINT (-76.948656 38.9932828),12,0,Maple,Red,,Acer,rubrum,,3.1,4.5,1,15.1,0,0,4720709.441,-8565885.198,,-76.948656,38.9932828
POINT (-76.9496665 38.9923285),13,0,Sweetspire,Virginia,Little Henry,Itea,virginica,Sprich,0,4.5,1,0,0,0,4720572.756,-8565997.694,,-76.9496665,38.9923285
POINT (-76.9388202 38.9826072),14,63,Maple,Red,,Acer,rubrum,,12.8,4.5,1,38,6,20,4719180.507,-8564790.287,,-76.9388202,38.9826072
POINT (-76.9391042 38.9854354),15,0,Holly,Hybrid,Foster,Ilex,x attenuata,Fosteri,6.2,4.5,1,14,2,5.8,4719585.527,-8564821.896,,-76.9391042,38.9854354
POINT (-76.9414303 38.9839824),16,0,Lilac,Tree,,Syringa,reticulata,ssp. pekinensis,0,4.5,1,0,0,0,4719377.443,-8565080.842,,-76.9414303,38.9839824
POINT (-76.9416099 38.9909383),17,0,Sweetspire,Virginia,Henry's Garnet,Itea,virginica,Henry's Garnet,0,0,0,0,0,0,4720373.64,-8565100.831,,-76.9416099,38.9909383
POINT (-76.9453704 38.9877005),18,0,Juniper,Chinese,Sea Green,Juniperus,chinensis,Sea Green,0,4.5,1,0,0,0,4719909.929,-8565519.45,,-76.9453704,38.9877005
POINT (-76.9383291 38.9881328),19,1876,Oak,Red,,Quercus,rubra,,23.8,4.5,1,58,7,27.8,4719971.841,-8564735.622,,-76.9383291,38.9881328
POINT (-76.9436351 38.9925669),20,2259,Maple,Red,,Acer,rubrum,,5,4.5,1,27,4,12.2,4720606.905,-8565326.28,,-76.9436351,38.9925669
POINT (-76.9458499 38.9894614),21,0,Magnolia,Star,,Magnolia,stellata,,0,4.5,1,0,0,0,4720162.125,-8565572.827,,-76.9458499,38.9894614
POINT (-76.9463366 38.9920302),22,2518,Planetree,London,,Platanus,x acerifolia,,6,4.5,1,28,6,10.6,4720530.037,-8565627.005,,-76.9463366,38.9920302
POINT (-76.9518652 38.9902411),23,0,Holly,Inkberry,,Ilex,glabra,,0,4.5,1,2.5,0,1.5,4720273.789,-8566242.447,,-76.9518652,38.9902411
POINT (-76.9514399 38.9852657),24,2605,Oak,Willow,,Quercus,phellos,,18.6,4.5,1,44,10.5,21.5,4719561.236,-8566195.104,,-76.9514399,38.9852657
POINT (-76.9472 38.9926439),25,0,Holly,Hybrid,Foster,Ilex,x attenuata,Fosteri,4.2,4.5,1,13,0,0,4720617.934,-8565723.119,,-76.9472,38.9926439
POINT (-76.9441624 38.9846695),26,0,Camellia,Ssp.,,Camellia,sp.,,0,4.5,1,0,0,0,4719475.855,-8565384.979,,-76.9441624,38.9846695
POINT (-76.9485522 38.9921024),27,0,rhododendron,Hybrid,Olga Mezitt,Rhododendron,x,Olga Mezitt,0,4.5,1,1.5,0,1,4720540.374,-8565873.643,,-76.9485522,38.9921024
POINT (-76.9396694 38.98687),28,0,Crapemyrtle,Hybrid,Natchez,Lagerstroemia,x,Natchez,0,0,1,17,3,12,4719790.988,-8564884.823,,-76.9396694,38.98687
POINT (-76.949946 38.9891236),29,2772,Pine,Eastern White,,Pinus,strobus,,11.7,4.5,1,30.7,4.5,13.5,4720113.739,-8566028.801,,-76.949946,38.9891236
POINT (-76.9424904 38.9838565),30,0,Juniper,Chinese,,Juniperus,chinensis,,0,4.5,1,4,0,6,4719359.415,-8565198.847,,-76.9424904,38.9838565
POINT (-76.9503307 38.9890268),31,0,Crapemyrtle,Hybrid,Natchez,Lagerstroemia,x,Natchez,0,4.5,3,12.5,2.7,5,4720099.875,-8566071.632,,-76.9503307,38.9890268
POINT (-76.9415509 38.9912871),32,0,,,,Deutzia,gracilis,Nikko,0,0,0,0,0,0,4720423.605,-8565094.27,,-76.9415509,38.9912871
POINT (-76.9468879 38.9918897),33,0,Holly,Chinese,Burford,Ilex,cornuta,Burfordii,0,0,0,0,0,0,4720509.906,-8565688.384,,-76.9468879,38.9918897
POINT (-76.9411717 38.9912789),34,0,Deutzia,Dwarf,,Deutzia,gracilis,Nikko,0,0,0,0,0,0,4720422.422,-8565052.052,,-76.9411717,38.9912789
POINT (-76.943021 38.98797),35,0,Crabapple,,,Malus,sp.,,20.5,1,5,10,2,8.8,4719948.531,-8565257.92,,-76.943021,38.98797
POINT (-76.9465964 38.9840332),36,1054,Fir,Balsam,,Abies,balsamea,,12.6,4.5,1,40,5.5,12.3,4719384.73,-8565655.926,,-76.9465964,38.9840332
POINT (-76.9499183 38.9909471),37,0,azalea,White,Delaware Valley,Rhododendron,x,Delaware Valley White,0,4.5,1,2,0,3,4720374.905,-8566025.722,,-76.9499183,38.9909471
POINT (-76.9502908 38.9927073),38,0,Abelia,Glossy,Edward Goucher,Abelia,x grandiflora,Edward Goucher,0,4.5,1,2,0,1,4720627.009,-8566067.186,,-76.9502908,38.9927073
POINT (-76.9382784 38.9913202),39,3726,Maple,Red,,Acer,rubrum,,3.4,4.5,1,15,4,5.3,4720428.346,-8564729.979,,-76.9382784,38.9913202
POINT (-76.9230105 38.9956141),40,0,Holly,Chinese,,Ilex,cornuta,,0,4.5,1,4,0,11.5,4721043.354,-8563030.354,,-76.9230105,38.9956141
POINT (-76.9482956 38.991942),41,0,,,,Rhododendron,sp.,,0,4.5,1,2.5,0,1.5,4720517.398,-8565845.087,,-76.9482956,38.991942
POINT (-76.9508475 38.9913572),42,0,Viburnum,Doublefile,,Viburnum,plicatum var. tomentosum,,0,0,0,0,0,0,4720433.647,-8566129.162,,-76.9508475,38.9913572
POINT (-76.9398754 38.9856805),43,0,Barberry,Japanese,,Berberis,thunbergii,,0,4.5,1,0,0,0,4719620.634,-8564907.746,,-76.9398754,38.9856805
POINT (-76.9471884 38.9928484),44,0,Abelia,Glossy,,Abelia,x grandiflora,,0,0,0,0,0,0,4720647.222,-8565721.833,,-76.9471884,38.9928484
POINT (-76.9413837 38.9906742),45,0,,,,Rhododendron,x,,0,0,0,0,0,0,4720335.821,-8565075.657,,-76.9413837,38.9906742
POINT (-76.9444631 38.9855704),46,559,Oak,Pin,,Quercus,palustris,,20.2,4.5,1,59,8,20.9,4719604.866,-8565418.451,,-76.9444631,38.9855704
POINT (-76.9408694 38.9839741),47,0,Hydrangea,Climbing,,Hydrangea,anomala subsp. petiolaris,,0,4.5,1,4,0,1.5,4719376.26,-8565018.408,,-76.9408694,38.9839741
POINT (-76.9390617 38.9851252),48,652,Maple,Black,,Acer,nigrum,,10.1,4.5,1,30,6,16.2,4719541.107,-8564817.176,,-76.9390617,38.9851252
POINT (-76.9523764 38.9867074),49,0,Holly,American,,Ilex,opaca,,1.2,4.5,3,0,0,0,4719767.707,-8566299.359,,-76.9523764,38.9867074
POINT (-76.9538083 39.0038368),50,0,Oak,White,,Quercus,alba,,15.3,4.5,1,83.3,19,24.1,4722221.179,-8566458.756,,-76.9538083,39.0038368
POINT (-76.9433628 38.9818835),51,0,Oak,Sawtooth,,Quercus,acutissima,,4.2,4.5,1,22.5,6,6.2,4719076.865,-8565295.963,,-76.9433628,38.9818835
POINT (-76.9518717 38.9902221),52,0,Holly,Inkberry,,Ilex,glabra,,0,4.5,1,2.5,0,1.5,4720271.074,-8566243.173,,-76.9518717,38.9902221
POINT (-76.9519804 38.9886374),53,0,Holly,Hybrid,Foster,Ilex,x attenuata,Fosteri,3,4.5,2,11,0,2.6,4720044.11,-8566255.277,,-76.9519804,38.9886374
POINT (-76.9413892 38.9912799),54,0,,,,Deutzia,gracilis,Nikko,0,0,0,0,0,0,4720422.574,-8565076.265,,-76.9413892,38.9912799
POINT (-76.9497215 38.9924287),55,0,Sweetspire,Virginia,Little Henry,Itea,virginica,Sprich,0,4.5,1,0,0,0,4720587.106,-8566003.816,,-76.9497215,38.9924287
POINT (-76.9450165 38.991957),56,0,Holly,American,,Ilex,opaca,,3.5,4.5,1,12,1,4.6,4720519.544,-8565480.052,,-76.9450165,38.991957
POINT (-76.9409381 38.9833584),57,0,Cherry,Ornamental,Autumnalis,Prunus,subhirtella,Autumnalis,3.1,4.5,1,17,5.5,4.1,4719288.089,-8565026.052,,-76.9409381,38.9833584
POINT (-76.9484082 38.9924777),58,0,Euonymus,Bursting-Heart,,Euonymus,americanus,,0,4.5,1,1,0,0,4720594.124,-8565857.614,,-76.9484082,38.9924777
POINT (-76.9361605 38.9882719),59,788,Oak,Pin,,Quercus,palustris,,18.5,4.5,1,28,7,14,4719991.756,-8564494.212,,-76.9361605,38.9882719
POINT (-76.9521147 38.9880977),60,0,Dogwood,Kousa,,Cornus,kousa,,2.7,4.5,1,8.4,0.3,6.9,4719966.821,-8566270.221,,-76.9521147,38.9880977
POINT (-76.9511595 38.9919118),61,0,Cypress,Bald,,Taxodium,distichum,,0,4.5,1,12,0,3,4720513.068,-8566163.892,,-76.9511595,38.9919118
POINT (-76.9534839 38.9852772),62,3121,Oak,Southern Red,,Quercus,falcata,,20.3,4.5,1,0,0,0,4719562.871,-8566422.644,,-76.9534839,38.9852772
POINT (-76.9229149 38.9961399),63,0,Holly,Japanese,,Ilex,crenata,,0,4.5,1,3.5,0,2.5,4721118.661,-8563019.717,,-76.9229149,38.9961399
POINT (-76.9513467 38.9922064),64,0,Holly,Hybrid,Foster,Ilex,x attenuata,Fosteri,2.5,4.5,1,12,0,3.1,4720555.271,-8566184.726,,-76.9513467,38.9922064
POINT (-76.9493837 38.9931408),65,0,Holly,Hybrid,Foster,Ilex,x attenuata,Fosteri,1.9,4.5,1,10,1,3.1,4720689.105,-8565966.212,,-76.9493837,38.9931408
POINT (-76.9425403 38.9844139),66,0,Cotoneaster,Bearberry,Royal Beauty,Cotoneaster,dammeri,Royal Beauty,0,4.5,1,0,0,0,4719439.25,-8565204.401,,-76.9425403,38.9844139
POINT (-76.9453315 38.9875074),67,0,Rose,Hybrid,Double Knock Out,Rosa,x,Radtko,0,4.5,1,0,0,0,4719882.272,-8565515.119,,-76.9453315,38.9875074
POINT (-76.9394438 38.9827008),68,53,Maple,Sugar,,Acer,saccharum,,17,4.5,1,51,8,27.7,4719193.919,-8564859.709,,-76.9394438,38.9827008
POINT (-76.9501542 38.9890984),69,0,Crapemyrtle,Hybrid,Natchez,Lagerstroemia,x,Natchez,0,4.5,3,12.5,2.7,5,4720110.127,-8566051.977,,-76.9501542,38.9890984
POINT (-76.9518784 38.9864812),70,0,,,,Rosa,x,,0,4.5,1,2.5,0,0.5,4719735.307,-8566243.918,,-76.9518784,38.9864812
POINT (-76.945665 38.9849089),71,0,Crapemyrtle,,,Lagerstroemia,sp.,,0,4.5,1,0,0,0,4719510.13,-8565552.252,,-76.945665,38.9849089
POINT (-76.9411105 38.9912535),72,0,Sweetspire,Virginia,Little Henry,Itea,virginica,Sprich,0,0,0,0,0,0,4720418.792,-8565045.244,,-76.9411105,38.9912535
POINT (-76.9516655 38.9888941),73,2755,Redwood,Dawn,,Metasequoia,glyptostroboides,,14.5,4.5,1,33.3,1,11.4,4720080.876,-8566220.223,,-76.9516655,38.9888941
POINT (-76.9414048 38.991267),74,0,Hydrangea,Panicle,Limelight,Hydrangea,paniculata,Limelight,0,0,0,0,0,0,4720420.718,-8565078.008,,-76.9414048,38.991267
POINT (-76.9517486 38.9901536),75,0,Fir,Douglas,,Pseudotsuga,menziesii,,4.1,4.5,1,12.2,0,4.1,4720261.259,-8566229.471,,-76.9517486,38.9901536
POINT (-76.9476041 38.9923856),76,0,Bamboo,Heavenly,,Nandina,domestica,,0,0,0,0,0,0,4720580.933,-8565768.104,,-76.9476041,38.9923856
POINT (-76.9384178 38.9862577),77,726,Cherry,Yoshino,,Prunus,x yedoensis,,13.5,3.5,1,27.7,6.5,17.8,4719703.299,-8564745.488,,-76.9384178,38.9862577
POINT (-76.9512669 38.988551),78,3246,Ash,Green,,Fraxinus,pennsylvanica,,9.9,4.5,1,25,6,13.9,4720031.729,-8566175.853,,-76.9512669,38.988551
POINT (-76.9497542 38.9867887),79,2582,Oak,Scarlet,,Quercus,coccinea,,26.2,4.5,1,48.1,7,28.1,4719779.344,-8566007.454,,-76.9497542,38.9867887
POINT (-76.9361184 38.9868947),80,1799,Oak,Red,,Quercus,rubra,,14.8,4.5,1,32,4,17.6,4719794.528,-8564489.527,,-76.9361184,38.9868947
POINT (-76.9430233 38.9824076),81,0,Serviceberry,,,Amelanchier,sp.,,2,4.5,1,11,5,5.8,4719151.921,-8565258.178,,-76.9430233,38.9824076
POINT (-76.9498488 38.9921064),82,0,Viburnum,David,,Viburnum,davidii,,0,4.5,1,2,0,1,4720540.942,-8566017.987,,-76.9498488,38.9921064
POINT (-76.9445684 38.9877044),83,0,Juniper,Chinese,Sargent,Juniperus,chinensis var. sargentii,,0,4.5,1,0,0,0,4719910.487,-8565430.171,,-76.9445684,38.9877044
POINT (-76.9492033 38.9925644),84,0,Cherry,Laurel,Otto Luyken,Prunus,laurocerasus,Otto Luyken,0,4.5,1,0,0,0,4720606.543,-8565946.127,,-76.9492033,38.9925644
POINT (-76.9472774 38.9843308),85,1042,Magnolia,Southern,,Magnolia,grandiflora,,12.2,4.5,1,38,7,14.3,4719427.341,-8565731.735,,-76.9472774,38.9843308
POINT (-76.9344915 38.9837185),86,1471,Cherry,Yoshino,,Prunus,x yedoensis,,15.8,4.5,1,26,7,21.8,4719339.659,-8564308.422,,-76.9344915,38.9837185
POINT (-76.9446899 38.9917956),87,3021,Beech,American,,Fagus,grandifolia,,30.1,4.5,1,0,0,0,4720496.429,-8565443.704,,-76.9446899,38.9917956
POINT (-76.9533071 38.985588),88,0,Holly,Hybrid,Foster,Ilex,x attenuata,Fosteri,1.4,4.5,1,0,0,0,4719607.392,-8566402.961,,-76.9533071,38.985588
POINT (-76.94366 38.9930883),89,0,Rose Of Sharon,Common,Helene,Hibiscus,syriacus,Helene,0,4.5,1,0,0,0,4720681.574,-8565329.053,,-76.94366,38.9930883
POINT (-76.9522778 38.9863553),90,0,,,,Paeonia,suffruticosa,,0,4.5,1,2.5,0,1.5,4719717.271,-8566288.384,,-76.9522778,38.9863553
POINT (-76.9417727 38.9963247),91,0,Pine,Loblolly,,Pinus,taeda,,3.3,4.5,1,0,0,0,4721145.131,-8565118.957,,-76.9417727,38.9963247
POINT (-76.942481 38.9853501),92,0,Maple,Japanese,,Acer,palmatum,,11.5,2,5,18,3,10.5,4719573.316,-8565197.804,,-76.942481,38.9853501
POINT (-76.9339676 38.9846681),93,1652,Pine,Japanese Black,,Pinus,thunbergii,,8.4,4.5,1,11,3,13,4719475.65,-8564250.099,,-76.9339676,38.9846681
POINT (-76.9408086 38.9881622),94,0,Osmanthus,Holly-Leaf,Gulftide,Osmanthus,heterophyllus,Gulftide,0,4.5,1,3.5,0.5,1,4719976.055,-8565011.64,,-76.9408086,38.9881622
POINT (-76.9510641 38.9920389),95,3646,Willow,Weeping,,Salix,alba,Tristis,0,4.5,1,22,2,8,4720531.276,-8566153.271,,-76.9510641,38.9920389
POINT (-76.9397232 38.9903641),96,0,Dogwood,Kousa,,Cornus,kousa,,5.5,0.5,1,8,2,4.2,4720291.413,-8564890.806,,-76.9397232,38.9903641
POINT (-76.9503753 38.9924981),97,0,Abelia,Glossy,Edward Goucher,Abelia,x grandiflora,Edward Goucher,0,4.5,1,2,0,1,4720597.048,-8566076.592,,-76.9503753,38.9924981
POINT (-76.942363 38.984444),98,0,Juniper,Chinese,Sargent,Juniperus,chinensis,Sargentii,0,4.5,1,0,0,0,4719443.56,-8565184.672,,-76.942363,38.984444
POINT (-76.9476274 38.9861265),99,0,Juniper,Hybrid,Sea Green,Juniperus,x pfitzeriana,Sea Green,0,4.5,1,2,0,1,4719684.503,-8565770.698,,-76.9476274,38.9861265
POINT (-76.9524383 38.9850507),100,2615,Oak,Southern Red,,Quercus,falcata,,23.5,4.5,1,62,8.5,29,4719530.439,-8566306.244,,-76.9524383,38.9850507
POINT (-76.9502433 38.9914028),101,0,Burning Bush,Common,,Euonymus,alatus,,0,4.5,1,4,0,2.5,4720440.167,-8566061.898,,-76.9502433,38.9914028
POINT (-76.949565 38.9900522),102,0,Sweetspire,Virginia,Little Henry,Itea,virginica,Little Henry,0,4.5,1,0,0,0,4720246.734,-8565986.393,,-76.949565,38.9900522
POINT (-76.9502224 38.9925178),103,0,Sumac,Fragrant,Gro-Low,Rhus,aromatica,Gro-Low,0,4.5,1,2,0,1,4720599.872,-8566059.573,,-76.9502224,38.9925178
POINT (-76.9413854 38.9839315),104,0,Stewartia,Japanese,,Stewartia,pseudocamellia,,0,4.5,1,0,0,0,4719370.16,-8565075.845,,-76.9413854,38.9839315
POINT (-76.9348446 38.985239),105,1734,Oak,Pin,,Quercus,palustris,,12.8,4.5,1,38,9,13.7,4719557.406,-8564347.728,,-76.9348446,38.985239
POINT (-76.9484014 38.9920963),106,0,Rhododendron,Hybrid,,Rhododendron,x,Sonny's Love,0,4.5,1,1.5,0,0,4720539.503,-8565856.861,,-76.9484014,38.9920963
POINT (-76.9470017 38.9931099),107,0,Snowbell,Japanese,,Styrax,japonica,,0,4.5,2,7,0,0,4720684.671,-8565701.05,,-76.9470017,38.9931099
POINT (-76.9455237 38.984968),108,0,Crapemyrtle,,,Lagerstroemia,sp.,,0,4.5,1,0,0,0,4719518.6,-8565536.521,,-76.9455237,38.984968
POINT (-76.9501058 38.9901275),109,0,Barberry,Japanese,Crimson Pygmy,Berberis,thunbergii var. atropurpurea,Crimson Pygmy,0,4.5,1,1.5,0,0.5,4720257.524,-8566046.593,,-76.9501058,38.9901275
POINT (-76.9373494 38.9911995),110,3735,Oak,Pin,,Quercus,palustris,,4.7,4.5,1,13,4,6.2,4720411.061,-8564626.557,,-76.9373494,38.9911995
POINT (-76.9492647 38.9896058),111,0,Pear,Ornamental,Cleveland Select,Pyrus,calleryana,Cleveland Select,3,4.5,1,0,0,0,4720182.797,-8565952.962,,-76.9492647,38.9896058
POINT (-76.9390125 38.982585),112,0,Pine,Lacebark,,Pinus,bungeana,,0,4.5,1,0,0,0,4719177.33,-8564811.694,,-76.9390125,38.982585
POINT (-76.9441623 38.9826738),113,0,Holly,Hybrid,Nellie R Stevens,Ilex,x,Nellie R Stevens,3.1,0,1,10,1,3.1,4719190.048,-8565384.962,,-76.9441623,38.9826738
POINT (-76.9237775 38.9958059),114,0,Spruce,Norway,,Picea,abies,,7.5,4.5,1,15.9,1,9.8,4721070.828,-8563115.745,,-76.9237775,38.9958059
POINT (-76.941309 38.9981537),115,0,Linden,Silver,Sterling,Tilia,tomentosa,Sterling,1,4.5,1,0,0,0,4721407.116,-8565067.344,,-76.941309,38.9981537
POINT (-76.9405556 38.982242),116,3323,Pine,Japanese Black,,Pinus,thunbergii,,7.8,4.5,1,16,2,12.8,4719128.207,-8564983.468,,-76.9405556,38.982242
POINT (-76.9358969 38.9867129),117,1790,Cypress,Leyland,,X Cupressocyparis,leylandii,,0,4.5,1,0,0,0,4719768.484,-8564464.871,,-76.9358969,38.9867129
POINT (-76.9462526 38.9893309),118,0,Maple,Red,,Acer,rubrum,,4.2,4.5,1,0,0,0,4720143.427,-8565617.663,,-76.9462526,38.9893309
POINT (-76.9477284 38.985666),119,0,Beautyberry,Purple,Early Amethyst,Callicarpa,dichotoma,Early Amethyst,0,0,0,0,0,0,4719618.563,-8565781.945,,-76.9477284,38.985666
POINT (-76.9481963 38.9919866),120,0,,,,Rhododendron,sp.,,0,4.5,1,3,0,2,4720523.792,-8565834.029,,-76.9481963,38.9919866
POINT (-76.9479023 38.9918991),121,0,Cherry,Wild Black,,Prunus,serotina,,0,4.5,1,0,0,0,4720511.251,-8565801.302,,-76.9479023,38.9918991
POINT (-76.9400762 38.990889),122,2075,Oak,Pin,,Quercus,palustris,,10,4.5,1,34,10,12.9,4720366.59,-8564930.104,,-76.9400762,38.990889
POINT (-76.9474624 38.991897),123,2423,Cryptomeria,Japanese,,Cryptomeria,japonica,,12,4,1,31,3,7.4,4720510.951,-8565752.33,,-76.9474624,38.991897
POINT (-76.9498821 38.9922971),124,0,Yew,English,Spreading,Taxus,baccata,Repandens,0,4.5,1,2,0,1.5,4720568.26,-8566021.696,,-76.9498821,38.9922971
POINT (-76.9401988 38.9837309),125,97,Oak,Willow,,Quercus,phellos,,23.7,4.5,1,63,6,26.5,4719341.438,-8564943.754,,-76.9401988,38.9837309
POINT (-76.9441153 38.9846635),126,0,Camellia,Yuletide,Shishigasaira,Camellia,sasanqua,Shishigasaira,0,4.5,1,0,0,0,4719474.988,-8565379.734,,-76.9441153,38.9846635
POINT (-76.9411478 38.9946234),127,0,Maple,Freeman,Autumn Blaze,Acer,x freemanii,Autumn Blaze,3.5,4.5,1,16.5,7,6.6,4720901.443,-8565049.397,,-76.9411478,38.9946234
POINT (-76.9501189 38.9925134),128,0,Magnolia,Sweetbay,,Magnolia,virginiana,,3.2,4.5,1,8,0,4.1,4720599.242,-8566048.051,,-76.9501189,38.9925134
POINT (-76.953865 38.9886346),129,3052,Oak,Pin,,Quercus,palustris,,28.7,4.5,1,75,1,23.7,4720043.707,-8566465.072,,-76.953865,38.9886346
POINT (-76.9507209 38.9923969),130,0,Rhododendron,Hybrid, Sherwood Orchid,Rhododendron,x,Sherwood Orchid,0,4.5,1,0,0,0,4720582.556,-8566115.07,,-76.9507209,38.9923969
POINT (-76.9541546 39.0037959),131,0,Blackgum,Common,,Nyssa,sylvatica,,4.8,4.5,1,13,10,9.4,4722215.313,-8566497.301,,-76.9541546,39.0037959
POINT (-76.9501193 38.9899239),132,0,Spiraea,Bumald,Anthony Waterer,Spiraea,x bumalda,Anthony Waterer,0,4.5,1,2.5,0,2,4720228.361,-8566048.095,,-76.9501193,38.9899239
POINT (-76.9396857 38.986247),133,736,Cryptomeria,Japanese,,Cryptomeria,japonica,,14.6,4.5,1,38,0,18.6,4719701.77,-8564886.638,,-76.9396857,38.986247
POINT (-76.9518806 38.9878984),134,3226,Redwood,Dawn,,Metasequoia,glyptostroboides,,11.2,5,1,28.1,0,6,4719938.267,-8566244.161,,-76.9518806,38.9878984
POINT (-76.9435732 38.9877923),135,0,Holly,Hybrid,Foster,Ilex,x attenuata,Fosteri,0,4.5,3,9,0,3,4719923.074,-8565319.386,,-76.9435732,38.9877923
POINT (-76.9532913 38.9853561),136,3122,Oak,Pin,,Quercus,palustris,,16.6,4.5,1,0,0,0,4719574.183,-8566401.202,,-76.9532913,38.9853561
POINT (-76.9321589 38.9829748),137,1563,Magnolia,Star,,Magnolia,stellata,,0,4.5,1,21,5,7,4719233.158,-8564048.751,,-76.9321589,38.9829748
POINT (-76.9514854 38.9917334),138,0,Birch,River,,Betula,nigra,,0,4.5,1,25,0,6,4720487.52,-8566200.173,,-76.9514854,38.9917334
POINT (-76.9489389 38.9914401),139,0,Yew,English,,Taxus,baccata,,0,4.5,1,3.5,0,2,4720445.511,-8565916.692,,-76.9489389,38.9914401
POINT (-76.9500378 38.9905443),140,0,Bamboo,Heavenly,,Nandina,domestica,,0,4.5,1,4,0,1.5,4720317.21,-8566039.021,,-76.9500378,38.9905443
POINT (-76.9447657 38.9846811),141,549,Oak,Red,,Quercus,rubra,,21.4,4.5,1,53,8,18.5,4719477.503,-8565452.133,,-76.9447657,38.9846811
POINT (-76.9492294 38.992352),142,0,Cherry,Laurel,Otto Luyken,Prunus,laurocerasus,Otto Luyken,0,4.5,1,0,0,0,4720576.127,-8565949.028,,-76.9492294,38.992352
POINT (-76.9504438 38.9913974),143,0,Viburnum,Cranberrybush,,Viburnum,opulus,,0,4.5,1,0,0,0,4720439.403,-8566084.217,,-76.9504438,38.9913974
POINT (-76.9488844 38.989484),144,0,Pear,Ornamental,Cleveland Select,Pyrus,calleryana,Cleveland Select,3.5,4.5,1,0,0,0,4720165.355,-8565910.63,,-76.9488844,38.989484
POINT (-76.9498059 38.989996),145,0,Barberry,Japanese,Crimson Pygmy,Berberis,thunbergii var. atropurpurea,Crimson Pygmy,0,4.5,1,1.5,0,0.5,4720238.692,-8566013.205,,-76.9498059,38.989996
POINT (-76.9436468 38.9840952),146,359,Oak,Red,,Quercus,rubra,,18,4.5,1,52,7,19.8,4719393.605,-8565327.583,,-76.9436468,38.9840952
POINT (-76.940839 38.9823155),147,0,Crapemyrtle,Hybrid,Natchez,Lagerstroemia,x,Natchez,0,4.5,1,11,2,5,4719138.734,-8565015.022,,-76.940839,38.9823155
POINT (-76.940966 38.9875935),148,2029,Oak,Pin,,Quercus,palustris,,9,4.5,1,22,5,8.9,4719894.598,-8565029.161,,-76.940966,38.9875935
POINT (-76.9390981 38.993223),149,2163,Sweetgum,American,,Liquidambar,styraciflua,,6.7,4.5,1,0,0,0,4720700.87,-8564821.224,,-76.9390981,38.993223
POINT (-76.94416 38.9853843),150,411,Oak,Willow,,Quercus,phellos,,15.6,4.5,1,38,0,12,4719578.215,-8565384.713,,-76.94416,38.9853843
POINT (-76.9481488 38.9940471),151,0,Planetree,London,Bloodgood,Platanus,x acerifolia,Bloodgood,2.8,4.5,1,24,5,6.2,4720818.91,-8565828.742,,-76.9481488,38.9940471
POINT (-76.9492017 38.9925826),152,0,Cherry,Laurel,Otto Luyken,Prunus,laurocerasus,Otto Luyken,0,4.5,1,0,0,0,4720609.154,-8565945.954,,-76.9492017,38.9925826
POINT (-76.9420641 38.997129),153,0,Ash,Green,,Fraxinus,pennsylvanica,,6.1,4.5,1,19.5,5,10.3,4721260.329,-8565151.399,,-76.9420641,38.997129
POINT (-76.9413708 38.9906819),154,0,Cherry,Laurel,,Prunus,laurocerasus,Otto Luyken,0,0,0,0,0,0,4720336.929,-8565074.22,,-76.9413708,38.9906819
