geometry,OBJECTID,TAGID,CNAME1,CNAME2,CNAME3,GENUS,SPECIES,CULTIVAR,DIAMETER,DBHHEIGHT,NUMTRUNK,HEIGHT,TRUNKHEIGHT,CRADAVG,Latitude,Longitude,Long,longitude,latitude
POINT (-76.9512095 38.9921966),14075,0,Holly,Hybrid,Foster,Ilex,x attenuata,Fosteri,0,4.5,2,13,0,3,,,,-76.9512095,38.9921966
POINT (-76.9466449 38.9938893),14076,0,Planetree,London,,Platanus,x acerifolia,,5.6,4.5,1,0,0,0,,,,-76.9466449,38.9938893
POINT (-76.9399126 38.9863251),14077,0,Abelia,Glossy,,Abelia,x grandiflora,,0,4.5,1,5,0,3,,,,-76.9399126,38.9863251
POINT (-76.9423331 38.9881578),14078,1258,Raintree,Golden,,Koelreuteria,paniculata,,10,3,1,21,8,14.6,,,,-76.9423331,38.9881578
POINT (-76.9401579 38.9828681),14079,234,Oak,Willow,,Quercus,phellos,,12.9,4.5,1,42.5,8,16.5,,,,-76.9401579,38.9828681
POINT (-76.9500169 38.9897207),14080,0,Holly,Chinese,Dwarf Burford,Ilex,cornuta,Burfordii Nana,0,4.5,1,3.5,0,1.5,,,,-76.9500169,38.9897207
POINT (-76.9394179 38.9863032),14081,0,Magnolia,Star,,Magnolia,stellata,,5.7,1,1,14,3.5,8,,,,-76.9394179,38.9863032
POINT (-76.9417039 38.9826699),14082,0,Viburnum,Lantanaphyllum,,Viburnum,x rhytidophylloides,,0,4.5,1,14,0,8,,,,-76.9417039,38.9826699
POINT (-76.9390628 38.9819916),14083,3818,Holly,Hybrid,Foster,Ilex,x attenuata,Fosteri,4.9,4.5,1,21,5,8,,,,-76.9390628,38.9819916
POINT (-76.9437636 38.9876632),14084,1199,Scholar-Tree,Japanese,,Styphnolobium,japonicum,,6,4,1,19,6,9.1,,,,-76.9437636,38.9876632
POINT (-76.9491796 38.9930593),14085,0,Holly,Hybrid,Foster,Ilex,x attenuata,Fosteri,1.8,4.5,1,10,1,3.1,,,,-76.9491796,38.9930593
POINT (-76.9478861 38.9919589),14086,2967,Ash,Green,,Fraxinus,pennsylvanica,,10.6,4.5,1,45,12,17.4,,,,-76.9478861,38.9919589
POINT (-76.948623 38.9864965),14087,0,Bamboo,Heavenly,,Nandina,domestica,,0,0,0,0,0,0,,,,-76.948623,38.9864965
POINT (-76.9481507 38.9894515),14088,0,Cypress,Leyland,,X Cupressocyparis,leylandii,,0,4.5,1,0,0,0,,,,-76.9481507,38.9894515
POINT (-76.9373994 38.9887381),14089,0,Holly,Hybrid,,Ilex,x,,12.5,1,1,19,0,9.8,,,,-76.9373994,38.9887381
POINT (-76.9483486 38.9932515),14090,0,Redbud,Eastern,,Cercis,canadensis,,3.8,3,1,9.6,0,0,,,,-76.9483486,38.9932515
POINT (-76.943562 38.9907045),14091,0,Spruce,Norway,Pendulus,Picea,abies,Pendula,2.3,2,1,6,0,0,,,,-76.943562,38.9907045
POINT (-76.9422759 38.9952591),14092,0,Serviceberry,,,Amelanchier,sp.,,0,4.5,1,9,0,0,,,,-76.9422759,38.9952591
POINT (-76.9434899 38.9873492),14093,1218,Ginkgo,Biloba,,Ginkgo,biloba,,7.2,4.5,1,26,7,8.8,,,,-76.9434899,38.9873492
POINT (-76.9408031 38.9818599),14094,0,Serviceberry,Canadian,,Amelanchier,canadensis,,0,4.5,1,0,0,0,,,,-76.9408031,38.9818599
POINT (-76.9501058 38.9901043),14095,0,Barberry,Japanese,Crimson Pygmy,Berberis,thunbergii var. atropurpurea,Crimson Pygmy,0,4.5,1,1.5,0,0.5,,,,-76.9501058,38.9901043
POINT (-76.9412701 38.9839803),14096,0,Camellia,Hybrid,Winter Joy,Camellia,x,Winter Joy,0,4.5,1,3,0,1,,,,-76.9412701,38.9839803
POINT (-76.9410387 38.9839169),14097,0,Cypress,Siberian,,Microbiota,decussata,,0,4.5,1,0.5,0,1,,,,-76.9410387,38.9839169
POINT (-76.9523169 38.985008),14098,2616,Oak,Pin,,Quercus,palustris,,17,4.5,1,55,10,21.2,,,,-76.9523169,38.985008
POINT (-76.9509567 38.9915759),14099,3661,Holly,,,Ilex,sp.,,8,4.5,6,12.2,1,4.3,,,,-76.9509567,38.9915759
POINT (-76.9442002 38.9871074),14100,0,Maple,Japanese,,Acer,palmatum,,1,4.5,1,4,0,0,,,,-76.9442002,38.9871074
POINT (-76.9526674 38.9888779),14101,0,Boxwood,Little Leaf,,Buxus,microphylla,,0,4.5,1,0,0,0,,,,-76.9526674,38.9888779
POINT (-76.9358467 38.9888762),14102,1896,Pine,Japanese Black,,Pinus,thunbergii,,10,4.5,1,19,0,15.6,,,,-76.9358467,38.9888762
POINT (-76.9501267 38.9925288),14103,0,Sumac,Fragrant,Gro-Low,Rhus,aromatica,Gro-Low,0,4.5,1,2,0,1,,,,-76.9501267,38.9925288
